Index,Value
1,37.565279421150976
2,46.83065977100813
3,45.570975206754625
4,40.51788827785054
5,24.846724575818953
6,41.55054864868039
7,24.85133740962713
8,27.31329894084121
9,35.697630617000314
10,13.510281254922804
11,9.187312921075893
12,32.25703640870469
13,43.01985669098139
14,19.57569601055524
15,33.57137792849713
16,7.873293768866706
17,46.93998969650477
18,43.60881341416569
19,39.26047625600327
20,15.773937476809037
21,15.133083095593465
22,6.267950927706112
23,41.39486944757521
24,26.14519706075215
25,19.63139282789038
26,20.32789091191889
27,35.970394052676184
28,28.604963746948055
29,9.081824587947741
30,7.782115611553028
31,34.26974423461421
32,25.325388262809838
33,12.745836717725076
34,41.80979379463591
35,24.852865643008105
36,10.838727756648776
37,17.437332271768557
38,25.20341703481869
39,29.541195584860954
40,21.686268491949225
41,39.32171790528792
42,35.58470874806822
43,25.7304148538625
44,26.077119424954354
45,14.353893017083715
46,17.192937927619866
47,25.055701884323348
48,6.267402852887907
49,7.601051283049117
50,42.38527161407819
51,34.14315665784872
52,25.7267550919584
53,11.582260144717164
54,33.22357924424493
55,29.588844424504263
56,44.30848413047781
57,18.371057694410837
58,24.816031844751183
59,10.060284799700561
60,32.748870691993204
61,36.26524433938518
62,29.985625470549778
63,31.254774815975424
64,34.605404169407876
65,35.565486549336015
66,16.652922183853633
67,20.6639549322037
68,27.64751633655925
69,32.711904603110796
70,18.21034289529637
71,26.922555830313236
72,40.236662583355994
73,36.10339198057122
74,37.72129411727287
75,32.7607032797176
76,48.75847863296554
77,28.93270501502593
78,35.22010362144902
79,40.59496589498064
80,24.66944241356036
81,21.810228948489158
82,47.601609569264944
83,14.883238636459607
84,12.547049516901373
85,20.002797363889886
86,42.50752813518314
87,36.658048188482766
88,9.162920407742076
89,17.42200719415375
90,24.03036023972721
91,41.29770027681251
92,15.30026766435438
93,14.867449279962287
94,9.042494453652136
95,15.020665926581625
96,31.62798918640606
97,44.344002219498826
98,29.305147151395
99,7.231998586540431
100,16.01288883890995
101,43.800859971930535
102,30.375276878334446
103,43.83728453220059
104,6.24241873902332
105,31.971801968732517
106,17.967931626008262
107,29.92681259478965
108,23.981431746578536
109,22.183904986971992
110,6.747971013562717
111,15.235324205019651
112,11.065043799941755
113,5.824926972519992
114,6.052279918530264
115,6.052754043687749
116,14.817826944035154
117,16.528746212103265
118,30.352504321108814
119,27.541142494387714
120,7.125966730564814
121,35.74851045878577
122,44.243062876510194
123,11.79374249307204
124,17.367959746493874
125,16.654868342925063
126,28.68824584206498
127,8.363936232771369
